Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial
|name            |ra           |dec          |period               |period_error|period_dot  |period_dot_error|dm        |dm_error|flux_1400_mhz|flux_1400_mhz_error|spect_index|spect_index_error|a1             |a1_error|eccentricity|eccentricity_error|min_mass|median_mass|companion_type|mass_ratio|mass_ratio_error|distance|pulsar_type|age     |b_surf  |transverse_velocity|
|PSR J1858-0736  |18 58 44.3000|-07 37 00.000|0.551058591          |     2.0e-09| 5.06000e-15|         7.0e-17| 194.00000| 0.00000|        0.300|                   |           |                 |               |        |            |                  |        |           |              |          |                |   10.14|R          |1.73e+06|1.69e+12|                   |
|PSR J1804-0735  |18 04 49.8954|-07 35 24.690|0.02310085528430     |     3.0e-14| 4.67100e-19|         3.0e-22| 186.31600| 0.01300|        1.000|              0.500|       -2.4|              0.7|    3.920550000| 6.0e-05|  0.21204000|        0.00003000|  0.2946|     0.3474|              |          |                |    7.80|R          |7.84e+08|3.32e+09|                   |
|PSR J1829-0734  |18 29 05.3700|-07 34 22.000|0.318400873408       |     1.8e-11| 4.78900e-15|         9.0e-18| 316.80000| 1.80000|        0.450|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    6.09|R          |1.05e+06|1.25e+12|                   |
|PSR J1725-0732  |17 25 12.2810|-07 32 59.200|0.239919487227       |     4.0e-12| 4.29600e-16|         3.0e-19|  58.91000| 0.07000|        0.110|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    0.20|R          |8.85e+06|3.25e+11|                   |
|PSR J1834-0731  |18 34 16.0000|-07 31 07.000|0.51297990872        |     4.0e-11| 5.82000e-14|         3.0e-17| 294.00000| 0.90000|        1.300|              0.100|       -1.6|              0.1|               |        |            |                  |        |           |              |          |                |    4.10|R          |1.40e+05|5.53e+12|                   |
|PSR J1735-0724  |17 35 04.9730|-07 24 52.130|0.4193349661853      |     1.1e-12| 1.21474e-15|         9.0e-21|  73.51200| 0.00400|        2.300|              0.500|       -1.8|              0.1|               |        |            |                  |        |           |              |          |                |    6.67|R          |5.47e+06|7.22e+11|             652.55|
|PSR J0034-0721  |00 34 08.8703|-07 21 53.409|0.9429509945598      |     1.7e-12| 4.08210e-16|         7.0e-21|  10.92200| 0.00600|       11.100|              2.200|       -1.6|              0.2|               |        |            |                  |        |           |              |          |                |    1.03|R          |3.66e+07|6.28e+11|              74.28|
|PSR J1024-0719  |10 24 38.6673|-07 19 19.595|0.00516220456226042  |     3.0e-17| 1.85558e-20|         5.0e-25|   6.47780| 0.00060|        2.300|              0.200|       -1.6|              0.1|               |        |            |                  |        |           |MS            |          |                |    1.22|HE         |4.41e+09|3.13e+08|             345.67|
|PSR J1843-0702  |18 43 22.4410|-07 02 54.600|0.191614063108       |     3.0e-12| 2.14020e-15|         1.5e-18| 228.40000| 0.20000|        0.270|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    4.28|R          |1.42e+06|6.48e+11|                   |
|PSR J1551-0658  |15 51 07.2150|-06 58 06.500|0.00709              |     0.0e+00|            |                |  21.60000| 0.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.32|HE         |        |        |                   |
|PSR J1838-0655  |18 38 03.1300|-06 55 33.400|0.070498243969       |     5.4e-11| 4.92500e-14|         2.9e-16|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    6.60|NRAD       |2.27e+04|1.89e+12|                   |
|PSR J1837-0653  |18 37 14.6500|-06 53 02.100|1.90580870607        |     3.0e-11| 7.72040e-16|         1.9e-19| 316.10000| 0.40000|        3.500|              0.700|       -1.7|              0.2|               |        |            |                  |        |           |              |          |                |    4.14|R          |3.91e+07|1.23e+12|                   |
|PSR J1926-0652  |19 26 37.1100|-06 52 43.000|1.6088162910         |     6.0e-10| 4.30000e-16|         2.0e-17|  84.70000| 0.90000|        0.900|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    5.21|R          |5.93e+07|8.42e+11|                   |
|PSR J1853-0649  |18 53 25.4220|-06 49 25.900|1.048132105087       |     5.4e-11| 1.54800e-15|         4.4e-17|  44.54100| 0.03600|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.29|R          |1.07e+07|1.29e+12|                   |
|PSR J2013-0649  |20 13 17.7507|-06 49 05.390|0.5801872690010      |     3.4e-12| 6.00700e-16|         2.4e-18|  63.36000| 0.10000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    9.58|R          |1.53e+07|5.97e+11|                   |
|PSR J1832-0644  |18 32 42.6700|-06 44 01.800|0.74429541939        |     5.0e-11| 3.70890e-14|         1.7e-17| 578.00000| 7.00000|        0.700|              0.100|        1.0|              0.5|               |        |            |                  |        |           |              |          |                |   10.37|R          |3.18e+05|5.32e+12|                   |
|PSR J1840-0643  |18 40 09.4400|-06 43 47.000|0.0355778755         |     3.0e-10| 2.20200e-16|         7.0e-19| 500.00000| 0.00000|        1.200|                   |           |                 |  113.200000000| 2.0e-01|            |                  |  0.1593|     0.1861|He            |          |                |    5.01|R          |2.56e+06|8.96e+10|                   |
|PSR J1839-0643  |18 39 09.8030|-06 43 45.200|0.449548149848       |     1.5e-11| 3.63800e-15|         7.0e-18| 497.90000| 1.60000|        1.600|              0.300|       -1.5|              0.3|               |        |            |                  |        |           |              |          |                |    4.82|R          |1.96e+06|1.29e+12|                   |
|PSR J1835-0643  |18 35 05.5610|-06 43 06.400|0.305830097712       |     1.7e-11| 4.04560e-14|         1.5e-19| 467.90000| 0.40000|        2.300|              0.200|       -2.0|              0.5|               |        |            |                  |        |           |              |          |                |    5.04|R          |1.20e+05|3.56e+12|                   |
|PSR J1918-0642  |19 18 48.0327|-06 42 34.900|0.007645872769642047 |     1.0e-17| 2.56914e-20|         1.8e-25|  26.46000| 0.03000|        0.580|              0.020|       -1.7|              0.1|    8.350466250| 1.7e-07|  0.00002034|        0.00000001|  0.2364|     0.2777|He            |          |                |    1.11|R          |4.72e+09|4.48e+08|              49.07|
|PSR J1849-0636  |18 49 06.4350|-06 37 06.900|1.451319471078       |     1.1e-11| 4.62398e-14|         1.1e-19| 148.16800| 0.01200|        1.400|              0.150|       -2.3|              0.1|               |        |            |                  |        |           |              |          |                |    3.85|R          |4.97e+05|8.29e+12|                   |
|PSR J1852-0635  |18 52 57.4900|-06 36 01.800|0.524156765367       |     6.0e-12| 1.46305e-14|         6.0e-19| 171.00000| 6.00000|        9.500|              1.900|       -1.1|              0.1|               |        |            |                  |        |           |              |          |                |    4.51|R          |5.68e+05|2.80e+12|                   |
|PSR J1845-0635  |18 45 07.4060|-06 35 23.400|0.34052764699        |     2.0e-11| 4.49100e-15|         8.0e-18| 414.00000| 1.00000|        0.360|              0.010|           |                 |               |        |            |                  |        |           |              |          |                |    9.41|R          |1.20e+06|1.25e+12|                   |
|PSR J0151-0635  |01 51 22.7179|-06 35 02.987|1.464664549334       |     7.0e-12| 4.42590e-16|         5.0e-20|  25.66000| 0.03000|        1.600|              0.300|       -1.4|              0.3|               |        |            |                  |        |           |              |          |                |   25.00|R          |5.24e+07|8.15e+11|            1419.49|
|PSR J1834-0633  |18 34 29.2500|-06 33 01.100|0.31731488279        |     7.0e-11| 6.00000e-16|         4.0e-17| 707.00000| 9.00000|        0.280|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    8.35|R          |8.32e+06|4.43e+11|                   |
|PSR J1903-0632  |19 03 37.9390|-06 32 21.940|0.43188708466        |     6.0e-11| 3.40140e-15|         3.0e-19| 195.61100| 0.01000|             |                   |       -1.8|              0.2|               |        |            |                  |        |           |              |          |                |   12.45|R          |2.01e+06|1.23e+12|                   |
|PSR J1839-0627  |18 39 20.4600|-06 27 34.000|0.48491367908        |     4.0e-11| 1.32000e-16|         1.7e-17|  88.50000| 0.70000|        0.290|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    2.46|R          |5.83e+07|2.56e+11|                   |
|PSR J1518-0627  |15 18 59.1104|-06 27 07.700|0.7949966745699      |     7.8e-12| 4.17900e-16|         5.6e-18|  27.96310| 0.00980|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.68|R          |3.01e+07|5.83e+11|                   |
|PSR J1840-0626  |18 40 16.3100|-06 26 15.400|1.8933526999         |     4.0e-10| 2.30300e-14|         7.0e-17| 748.00000| 8.00000|        0.160|                   |           |                 |               |        |            |                  |        |           |              |          |                |    5.73|R          |1.30e+06|6.68e+12|                   |
|PSR J1838-0624  |18 38 51.7800|-06 24 54.000|0.92717774151        |     5.0e-11| 7.70000e-17|         4.0e-18| 424.00000| 9.00000|        0.160|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    4.54|R          |1.90e+08|2.71e+11|                   |
|PSR J1543-0620  |15 43 30.1373|-06 20 45.332|0.709064069786       |     4.0e-12| 8.79540e-16|         4.0e-20|  18.37740| 0.00090|        2.000|              0.700|       -2.5|              0.3|               |        |            |                  |        |           |              |          |                |    3.23|R          |1.28e+07|7.99e+11|             256.82|
|PSR J1805-0619  |18 05 31.4360|-06 19 45.400|0.454650713078       |     7.0e-12| 9.69000e-16|         1.3e-18| 146.22000| 0.09000|        0.900|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    5.34|R          |7.43e+06|6.72e+11|                   |
|PSR J1814-0618  |18 14 41.2600|-06 18 01.700|1.37786849563        |     1.4e-10| 2.92000e-16|         1.6e-17| 168.00000| 6.00000|        0.580|                   |           |                 |               |        |            |                  |        |           |              |          |                |    5.99|R          |7.47e+07|6.42e+11|                   |
|PSR J0957-06    |09 57 00.0000|-06 17 00.000|1.72370              |     8.0e-05|            |                |  26.95000| 0.02000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.46|R          |        |        |                   |
|PSR J1849-0614  |18 49 45.1570|-06 14 31.500|0.95338418817        |     3.0e-11| 5.38890e-14|         6.0e-18| 119.60000| 1.20000|        0.590|              0.070|       -2.8|              0.4|               |        |            |                  |        |           |              |          |                |    3.52|R          |2.80e+05|7.25e+12|                   |
|PSR J1842-0612  |18 42 43.0500|-06 12 36.000|0.56447537999        |     1.6e-10| 2.20000e-17|         9.0e-18| 485.00000|10.00000|        0.540|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    5.73|R          |4.07e+08|1.13e+11|                   |
|PSR J1828-0611  |18 28 20.7150|-06 11 51.500|0.269414732063       |     3.0e-12| 1.45950e-15|         3.0e-19| 363.20000| 0.50000|        1.500|              0.300|       -1.5|              0.2|               |        |            |                  |        |           |              |          |                |   12.11|R          |2.92e+06|6.35e+11|                   |
|PSR J2346-0609  |23 46 50.4978|-06 09 59.899|1.181463382967       |     5.0e-12| 1.36305e-15|         5.0e-20|  22.50400| 0.01900|        2.000|              0.400|           |                 |               |        |            |                  |        |           |              |          |                |    3.70|R          |1.37e+07|1.28e+12|             746.15|
|PSR J0952-0607  |09 52 08.3190|-06 07 23.490|0.00141379837685     |     4.0e-14|            |                |  22.41149| 0.00010|             |                   |           |                 |    0.062669400| 1.4e-06|            |                  |  0.0191|     0.0220|UL            |          |                |    1.74|R          |        |        |                   |
|PSR J1847-0605  |18 47 21.0710|-06 05 14.100|0.778164353310       |     1.9e-11| 4.64500e-15|         7.0e-18| 207.90000| 1.80000|        0.800|              0.200|       -2.5|              0.4|               |        |            |                  |        |           |              |          |                |    4.32|R          |2.65e+06|1.92e+12|                   |
|PSR J1837-0604  |18 37 43.5500|-06 04 49.000|0.09629420774        |     3.0e-11| 4.51724e-14|         8.0e-19| 459.30000| 0.30000|        0.750|              0.060|       -0.8|              0.4|               |        |            |                  |        |           |              |          |                |    4.77|HE         |3.38e+04|2.11e+12|                   |
|PSR J1834-0602  |18 34 37.9700|-06 02 35.000|0.48791359170        |     3.0e-11| 1.82800e-15|         1.0e-17| 445.00000| 4.00000|        0.800|              0.200|       -2.0|              0.4|               |        |            |                  |        |           |              |          |                |    6.34|R          |4.23e+06|9.56e+11|                   |
|PSR J1848-0601  |18 48 20.3490|-06 01 07.700|0.225004475404       |     4.0e-12| 2.87100e-16|         4.0e-19| 496.60000| 0.40000|        0.240|                   |           |                 |               |        |            |                  |        |           |              |          |                |   15.70|R          |1.24e+07|2.57e+11|                   |
|PSR J1837-0559  |18 37 23.6630|-05 59 28.300|0.201062574029       |     5.0e-12| 3.30480e-15|         1.3e-18| 319.50000| 0.60000|        0.580|              0.040|       -1.9|              0.4|               |        |            |                  |        |           |              |          |                |    4.32|R          |9.64e+05|8.25e+11|                   |
|PSR J1833-0559  |18 33 07.6000|-05 59 25.000|0.48345888008        |     5.0e-11| 1.23500e-14|         3.0e-17| 353.00000| 6.00000|        0.600|              0.100|       -1.4|              0.7|               |        |            |                  |        |           |              |          |                |    7.13|R          |6.20e+05|2.47e+12|                   |
|PSR J1840-0559  |18 40 23.1800|-05 59 16.200|0.85936846681        |     5.0e-11| 9.60200e-15|         9.0e-18| 321.70000| 1.40000|        0.310|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    4.24|R          |1.42e+06|2.91e+12|                   |
|PSR J1833-0556  |18 33 38.8800|-05 56 05.000|1.5215451697         |     4.0e-10| 1.28000e-15|         5.0e-17| 461.00000|13.00000|        0.200|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    9.39|R          |1.88e+07|1.41e+12|                   |
|PSR J2310-0555  |23 10 06.4300|-05 55 35.900|0.0026125867919415   |     6.0e-16| 4.96000e-21|         4.0e-23|  15.51390| 0.00070|             |                   |           |                 |    1.378352000| 2.0e-06|            |                  |  0.1478|     0.1726|He            |          |                |    1.56|HE         |8.35e+09|1.15e+08|                   |
|PSR J1838-0549  |18 38 38.0900|-05 49 12.000|0.235303200419       |     1.0e-11| 3.34290e-14|         6.0e-18| 276.60000| 0.40000|        0.420|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    4.06|R          |1.12e+05|2.84e+12|                   |
|PSR J1845-0545  |18 45 38.4900|-05 45 18.200|1.09234815284        |     5.0e-11| 1.34300e-14|         3.0e-17| 315.90000| 1.20000|        0.470|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    5.47|R          |1.29e+06|3.88e+12|                   |
|PSR J1844-0538  |18 44 05.1080|-05 38 34.190|0.255699268086       |     8.0e-12| 9.70552e-15|         6.0e-20| 411.71000| 0.04000|        3.200|              0.200|       -1.9|              0.1|               |        |            |                  |        |           |              |          |                |    5.40|R          |4.17e+05|1.59e+12|                   |
|PSR J1838-0537  |18 38 56.0200|-05 37 09.000|0.1457077402         |     3.0e-10| 4.71790e-13|         3.0e-17|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |        |NRAD       |4.89e+03|8.39e+12|                   |
|PSR J0034-0534  |00 34 21.8342|-05 34 36.722|0.0018771818845850   |     2.0e-16| 4.96600e-21|         1.0e-24|  13.76517| 0.00004|        0.610|              0.090|       -2.7|              0.1|    1.437766200| 5.0e-07|  0.00000430|        0.00000070|  0.1411|     0.1646|He            |          |                |    1.35|HE         |5.99e+09|9.77e+07|              77.61|
|PSR J2339-0533  |23 39 38.7400|-05 33 05.320|0.00288422674154723  |     1.7e-16| 1.41020e-20|         7.0e-24|   8.70000| 0.00000|             |                   |           |                 |    0.611656000| 4.0e-06|  0.00021020|        0.00000050|  0.2572|     0.3026|MS            |      4.63|            0.21|    1.10|HE         |3.24e+09|2.04e+08|              57.96|
|PSR J2325-0530  |23 25 15.3000|-05 30 39.000|0.868735115025       |     8.0e-12| 1.02870e-15|         1.6e-18|  14.96600| 0.00700|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.49|R          |1.34e+07|9.57e+11|                   |
|PSR J0601-0527  |06 01 58.9752|-05 27 50.871|0.3959691695432      |     5.0e-13| 1.30210e-15|         5.0e-21|  80.53800| 0.00500|        2.600|              0.500|       -1.7|              0.1|               |        |            |                  |        |           |              |          |                |    2.08|R          |4.82e+06|7.27e+11|             167.16|
|PSR J1856-0526  |18 56 21.9770|-05 26 56.800|0.370483417429       |     7.0e-12| 1.69750e-15|         9.0e-19| 130.50000| 0.40000|        0.400|                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.01|R          |3.46e+06|8.02e+11|                   |
|PSR J1841-0524  |18 41 49.3200|-05 24 29.500|0.44574893108        |     3.0e-11| 2.33724e-13|         1.0e-17| 284.50000| 0.30000|        0.200|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    4.12|HE         |3.02e+04|1.03e+13|                   |
|PSR J1802-0523  |18 02 12.1400|-05 23 29.000|1.68057296916        |     9.0e-11| 2.64900e-15|         3.0e-18| 121.00000| 0.00000|        0.150|              0.070|           |                 |               |        |            |                  |        |           |              |          |                |    4.07|R          |1.01e+07|2.14e+12|                   |
|PSR J1921-05    |19 21 04.0000|-05 23 08.000|2.22759              |     0.0e+00|            |                |  98.00000| 0.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    5.75|R          |        |        |                   |
|PSR J1835-0522  |18 35 08.1200|-05 22 08.000|1.08774918841        |     8.0e-11| 4.70000e-16|         4.0e-17| 456.00000| 4.00000|        0.230|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    8.79|R          |3.64e+07|7.26e+11|                   |
|PSR J1814-0521  |18 14 26.1300|-05 21 37.000|1.01421948495        |     6.0e-11| 8.84000e-16|         3.0e-18| 130.00000| 2.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.18|R          |1.82e+07|9.58e+11|                   |
|PSR J1836-0517  |18 36 25.2000|-05 17 35.000|0.45724503044        |     3.0e-11| 1.30190e-15|         1.1e-18| 564.00000| 5.00000|        0.150|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    8.32|R          |5.56e+06|7.81e+11|                   |
|PSR J1555-0515  |15 55 40.0970|-05 15 57.400|0.97540989108        |     5.0e-11| 2.05400e-15|         2.0e-18|  23.46000| 0.03000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.55|R          |7.52e+06|1.43e+12|                   |
|PSR J1848-0511  |18 48 15.0100|-05 11 38.000|1.6371290072         |     6.0e-10| 8.86300e-15|         1.1e-17| 418.00000| 7.00000|        0.400|              0.050|           |                 |               |        |            |                  |        |           |              |          |                |    8.80|R          |2.93e+06|3.85e+12|                   |
|PSR J1843-0510  |18 43 09.7320|-05 10 04.500|0.671613828819       |     1.3e-11| 3.89230e-15|         1.2e-18| 257.00000| 0.00000|        0.070|                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.07|R          |2.73e+06|1.64e+12|                   |
|PSR J1820-0509  |18 20 22.7280|-05 09 38.500|0.337320795791       |     3.0e-12| 9.32300e-16|         3.0e-19| 104.00000| 0.30000|        0.250|                   |           |                 |               |        |            |                  |        |           |              |          |                |    3.33|R          |5.73e+06|5.67e+11|                   |
|PSR J0458-0505  |04 58 37.1210|-05 05 05.100|1.88347965849        |     1.8e-10| 5.30000e-16|         1.5e-16|  47.80600| 0.03200|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.94|R          |5.63e+07|1.01e+12|                   |
|PSR J1844-0502  |18 44 33.9600|-05 02 00.500|0.33516252825        |     4.0e-11| 6.20000e-17|         1.2e-17| 318.00000| 5.00000|        0.400|              0.050|           |                 |               |        |            |                  |        |           |              |          |                |    4.58|R          |8.60e+07|1.46e+11|                   |
|PSR J1841-0500  |18 41 18.1400|-05 00 19.500|0.91291419632        |     1.7e-10| 3.47500e-14|         1.7e-16| 532.00000| 1.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.97|R          |4.16e+05|5.70e+12|                   |
|PSR J1839-0459  |18 39 42.6190|-04 59 58.800|0.58531903782        |     3.0e-11| 3.30800e-15|         5.0e-18| 243.00000| 3.00000|        0.300|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    3.98|R          |2.80e+06|1.41e+12|                   |
|PSR J1843-0459  |18 43 27.6430|-04 59 30.400|0.75496337007        |     3.0e-11| 8.54000e-16|         1.0e-17| 444.10000| 0.50000|        1.900|              0.400|       -2.4|              0.4|               |        |            |                  |        |           |              |          |                |    4.89|R          |1.40e+07|8.13e+11|                   |
|PSR J1841-0456  |18 41 19.3430|-04 56 11.160|11.7889784           |     1.0e-06| 4.09200e-11|         1.6e-13|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    9.60|AXP,NRAD   |4.57e+03|7.03e+14|                   |
|PSR J1838-0453  |18 38 11.1900|-04 53 23.000|0.38083077683        |     3.0e-11| 1.15660e-13|         8.0e-18| 617.20000| 0.40000|        0.400|              0.050|           |                 |               |        |            |                  |        |           |              |          |                |    6.64|R          |5.22e+04|6.72e+12|                   |
|PSR J1844-0452  |18 44 01.5400|-04 52 20.900|0.26944332141        |     3.0e-11| 6.80000e-16|         6.0e-18| 626.00000| 4.00000|        0.190|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    5.68|R          |6.28e+06|4.33e+11|                   |
|PSR J1841-04    |18 41 10.0000|-04 48 00.000|                     |            |            |                |  29.00000| 3.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.99|R          |        |        |                   |
|PSR J1840-0445  |18 40 45.5000|-04 45 08.000|0.42231632097        |     1.3e-10| 1.12800e-14|         3.0e-18| 379.00000| 0.00000|        0.370|              0.080|           |                 |               |        |            |                  |        |           |              |          |                |    4.56|R          |5.93e+05|2.21e+12|                   |
|PSR J1847-0443  |18 47 51.8500|-04 43 36.200|0.340832130441       |     1.4e-11| 2.83000e-17|         4.0e-19| 454.90000| 2.00000|        0.160|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    8.52|R          |1.91e+08|9.95e+10|                   |
|PSR J1705-04    |17 05 00.0000|-04 41 00.000|0.23748              |     2.0e-05|            |                |  42.95100| 0.00900|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.21|R          |        |        |                   |
|PSR J1913-0440  |19 13 54.1735|-04 40 47.680|0.825935803096       |     9.0e-12| 4.06801e-15|         3.0e-20|  89.38500| 0.01000|        6.800|              1.400|       -2.6|              0.1|               |        |            |                  |        |           |              |          |                |    4.04|R          |3.22e+06|1.85e+12|             164.76|
|PSR J1847-0438  |18 47 37.9250|-04 38 15.300|0.95799116473        |     3.0e-11| 1.09330e-14|         9.0e-18| 229.00000| 4.00000|        0.500|              0.100|       -1.7|              0.5|               |        |            |                  |        |           |              |          |                |    4.38|R          |1.39e+06|3.27e+12|                   |
|PSR J1839-0436  |18 39 00.0640|-04 36 57.500|0.149460655762       |     3.0e-12| 8.09600e-16|         3.0e-19| 292.70000| 1.80000|        0.230|                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.48|R          |2.92e+06|3.52e+11|                   |
|PSR J1836-0436  |18 36 51.7904|-04 36 37.680|0.354236507718       |     6.0e-12| 1.66095e-15|         4.0e-20| 231.50000| 0.30000|        2.000|              0.400|       -1.4|              0.2|               |        |            |                  |        |           |              |          |                |    4.36|R          |3.38e+06|7.76e+11|             250.82|
|PSR J0447-04    |04 47 00.0000|-04 35 00.000|2.18819              |     2.0e-05|            |                |  29.83000| 0.04000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.67|R          |        |        |                   |
|PSR J1845-0434  |18 45 34.7090|-04 34 29.800|0.4867507986         |     4.0e-10| 1.13260e-14|         3.0e-18| 230.80000| 0.20000|        2.500|              0.500|       -1.2|              0.2|               |        |            |                  |        |           |              |          |                |    4.09|R          |6.81e+05|2.38e+12|                   |
|PSR J1844-0433  |18 44 33.4520|-04 33 12.400|0.991026616395       |     3.0e-12| 3.91454e-15|         1.6e-20| 123.15800| 0.02000|        1.100|              0.120|       -1.8|              0.1|               |        |            |                  |        |           |              |          |                |    3.07|R          |4.01e+06|1.99e+12|                   |
|PSR J2129-0429  |21 29 45.0390|-04 29 05.590|0.00762              |     0.0e+00|            |                |  16.90000| 0.00000|             |                   |           |                 |    1.855000000| 4.2e-02|            |                  |  0.3688|     0.4371|MS            |      3.93|            0.06|    1.83|HE         |        |        |             138.85|
|PSR J1847-0427  |18 47 18.8600|-04 27 59.000|0.25924664288        |     2.0e-11| 5.90000e-18|         5.0e-19| 188.30000| 0.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    3.97|R          |6.96e+08|3.96e+10|                   |
|PSR J1820-0427  |18 20 52.5934|-04 27 37.712|0.598081935375       |     4.0e-12| 6.32528e-15|         1.1e-19|  84.43500| 0.01700|        9.300|              1.900|       -2.1|              0.1|               |        |            |                  |        |           |              |          |                |    2.86|R          |1.50e+06|1.97e+12|             236.92|
|PSR J1834-0426  |18 34 25.6020|-04 26 15.840|0.2901081932010      |     7.0e-13| 7.19470e-17|         6.0e-21|  79.30800| 0.00800|        5.000|              0.500|       -1.3|              0.1|               |        |            |                  |        |           |              |          |                |    2.49|R          |6.39e+07|1.46e+11|                   |
|PSR J1841-0425  |18 41 05.6630|-04 25 19.500|0.1861488579563      |     4.0e-13| 6.39288e-15|         1.8e-20| 325.48700| 0.01500|        3.300|              0.200|       -1.7|              0.1|               |        |            |                  |        |           |              |          |                |    4.40|R          |4.61e+05|1.10e+12|             243.27|
|PSR J0624-0424  |06 24 20.0280|-04 24 50.450|1.0390764758510      |     1.5e-12| 8.30442e-16|         1.2e-20|  70.83500| 0.01100|        1.400|              0.300|       -1.0|              0.5|               |        |            |                  |        |           |              |          |                |    1.94|R          |1.98e+07|9.40e+11|                   |
|PSR J2046-0421  |20 46 00.1730|-04 21 26.256|1.5469381168652      |     1.7e-12| 1.47148e-15|         1.7e-20|  35.79900| 0.01000|        1.700|              0.500|       -1.7|              0.2|               |        |            |                  |        |           |              |          |                |    6.25|R          |1.67e+07|1.53e+12|             342.91|
|PSR J1842-0415  |18 42 11.2890|-04 15 38.200|0.526682241575       |     1.2e-11| 2.19366e-14|         1.2e-18| 188.00000| 4.00000|        0.350|              0.040|       -0.8|              0.9|               |        |            |                  |        |           |              |          |                |    3.64|R          |3.80e+05|3.44e+12|                   |
|PSR J1843-0408  |18 43 43.4400|-04 08 04.000|0.78193369973        |     7.0e-11| 2.39000e-15|         3.0e-17| 246.00000| 3.00000|        0.170|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    3.98|R          |5.18e+06|1.38e+12|                   |
|PSR J1839-0402  |18 39 51.0600|-04 02 24.900|0.520939679547       |     1.7e-11| 7.69400e-15|         5.0e-18| 242.00000| 3.00000|        0.210|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    4.27|R          |1.07e+06|2.03e+12|                   |
|PSR J1847-0402  |18 47 22.8420|-04 02 14.400|0.597808754148       |     3.0e-12| 5.16911e-14|         1.8e-19| 141.97900| 0.00500|        4.900|              0.300|       -2.3|              0.1|               |        |            |                  |        |           |              |          |                |    3.42|R          |1.83e+05|5.63e+12|             130.72|
|PSR J1842-0359  |18 42 26.4770|-03 59 59.800|1.839944315159       |     1.4e-11| 5.08760e-16|         1.1e-19| 195.98000| 0.08000|        4.400|              0.500|       -1.5|              0.1|               |        |            |                  |        |           |              |          |                |    3.71|R          |5.73e+07|9.79e+11|                   |
|PSR J1801-0357  |18 01 22.6600|-03 57 55.000|0.92149067377        |     4.0e-11| 3.31010e-15|         3.0e-19| 120.37000| 0.03000|        0.700|              0.100|       -2.6|              0.1|               |        |            |                  |        |           |              |          |                |    5.74|R          |4.41e+06|1.77e+12|                   |
|PSR J1843-0355  |18 43 06.6700|-03 55 56.000|0.132313618371       |     1.1e-11| 1.04000e-15|         3.0e-18| 797.70000| 0.60000|        0.890|              0.070|       -0.3|              0.3|               |        |            |                  |        |           |              |          |                |    5.80|R          |2.02e+06|3.75e+11|                   |
|PSR J1835-0349  |18 35 12.9460|-03 49 09.900|0.84186451859        |     4.0e-11| 3.05800e-15|         4.0e-18| 269.60000| 0.70000|        0.160|                   |           |                 |               |        |            |                  |        |           |              |          |                |    5.51|R          |4.36e+06|1.62e+12|                   |
