Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial
|name            |ra           |dec          |period               |period_error|period_dot  |period_dot_error|dm        |dm_error|flux_1400_mhz|flux_1400_mhz_error|spect_index|spect_index_error|a1             |a1_error|eccentricity|eccentricity_error|min_mass|median_mass|companion_type|mass_ratio|mass_ratio_error|distance|pulsar_type|age     |b_surf  |transverse_velocity|
|PSR J0024-7204D |00 24 13.8809|-72 04 43.852|0.00535757328486573  |     9.0e-17|-3.42200e-21|         9.0e-25|  24.73200| 0.00300|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |        |        |             106.62|
|PSR J0024-7204F |00 24 03.8555|-72 04 42.818|0.00262357935251262  |     4.0e-17| 6.45029e-20|         7.0e-25|  24.38200| 0.00500|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |6.44e+08|4.16e+08|             114.85|
|PSR J0024-7204S |00 24 03.9794|-72 04 42.353|0.00283040595787912  |     8.0e-17|-1.20541e-19|         9.0e-25|  24.37600| 0.00400|             |                   |           |                 |    0.766268600| 8.0e-07|  0.00039800|        0.00000300|  0.0885|     0.1028|He            |          |                |    4.69|R          |        |        |             114.46|
|PSR J0024-7204Y |00 24 01.4026|-72 04 41.836|0.00219665714352123  |     5.0e-17|-3.51721e-20|         1.0e-24|  24.46800| 0.00400|             |                   |           |                 |    0.668596500| 7.0e-07|  0.00000300|        0.00000030|  0.1376|     0.1605|He            |          |                |    4.69|R          |        |        |             123.64|
|PSR J0024-7204G |00 24 07.9603|-72 04 39.703|0.00404037914356515  |     1.4e-16|-4.21584e-20|         1.7e-24|  24.43600| 0.00400|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |        |        |             119.04|
|PSR J0024-7204I |00 24 07.9347|-72 04 39.682|0.00348499206166289  |     1.3e-16|-4.58740e-20|         3.0e-24|  24.43000| 0.01000|             |                   |           |                 |    0.038446000| 1.0e-06|            |                  |  0.0129|     0.0149|UL            |          |                |    4.69|R          |        |        |             120.58|
|PSR J0024-7204T |00 24 08.5491|-72 04 38.932|0.0075884798073671   |     1.2e-15| 2.93805e-19|         1.2e-23|  24.41000| 0.02000|             |                   |           |                 |    1.338501000| 5.0e-06|  0.00040000|        0.00000700|  0.1672|     0.1954|He            |          |                |    4.69|R          |4.09e+08|1.51e+09|             127.29|
|PSR J0024-7204C |00 23 50.3546|-72 04 31.505|0.00575677999551635  |     1.4e-16|-4.98503e-20|         2.0e-24|  24.60000| 0.00400|        0.600|                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |        |        |             134.61|
|PSR J0024-7204N |00 24 09.1880|-72 04 28.891|0.00305395434626085  |     1.0e-16|-2.18570e-20|         1.9e-24|  24.57400| 0.00900|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    4.69|R          |        |        |             153.29|
|PSR J0024-7204Q |00 24 16.4909|-72 04 25.164|0.00403318118457258  |     1.5e-16| 3.40080e-20|         4.0e-24|  24.26500| 0.00400|             |                   |           |                 |    1.462204300| 9.0e-07|  0.00008030|        0.00000150|  0.1769|     0.2069|He            |          |                |    4.69|R          |1.88e+09|3.75e+08|             129.27|
|PSR J0024-7204P |00 24 20.0000|-72 04 10.000|0.0036430207         |     3.0e-10| 6.60000e-19|         4.0e-20|  24.29000| 0.03000|             |                   |           |                 |    0.038008000| 4.0e-06|            |                  |  0.0172|     0.0199|UL            |          |                |    4.69|R          |8.70e+07|1.57e+09|                   |
|PSR J0024-7204H |00 24 06.7032|-72 04 06.807|0.00321034070935032  |     1.1e-16|-1.82940e-21|         1.1e-24|  24.36900| 0.00800|             |                   |           |                 |    2.152813000| 2.0e-06|  0.07055800|        0.00000100|  0.1641|     0.1918|He            |          |                |    4.69|R          |        |        |             129.37|
|PSR J0024-7204U |00 24 09.8366|-72 03 59.688|0.00434282669639233  |     1.2e-16| 9.52279e-20|         1.7e-24|  24.33700| 0.00400|             |                   |           |                 |    0.526949400| 7.0e-07|  0.00014600|        0.00000300|  0.1228|     0.1431|He            |          |                |    4.69|R          |7.23e+08|6.51e+08|             132.67|
|PSR J0024-7204J |00 23 59.4077|-72 03 58.791|0.00210063354535246  |     5.0e-17|-9.79170e-21|         9.0e-25|  24.58800| 0.00300|             |                   |           |                 |    0.040405800| 6.0e-07|            |                  |  0.0209|     0.0242|UL            |          |                |    4.69|R          |        |        |             141.78|
|PSR J1604-7203  |16 04 29.1770|-72 03 30.460|0.341402932218       |     4.0e-12| 8.40000e-17|         2.0e-19|  54.37000| 0.00500|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.59|R          |6.44e+07|1.71e+11|                   |
|PSR J1603-7202  |16 03 35.6775|-72 02 32.730|0.0148419522510823   |     7.0e-16| 1.56300e-20|         3.0e-24|  38.04710| 0.00010|        3.500|              0.200|       -2.0|              0.1|    6.880657700| 6.0e-07|  0.00000934|        0.00000005|  0.2866|     0.3378|CO(?)         |          |                |    0.53|R          |1.50e+10|4.87e+08|              19.43|
|PSR J0057-7201  |00 57 44.0000|-72 01 19.000|0.7380624426         |     2.0e-10| 1.00000e-16|         8.0e-17|  27.00000| 5.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    3.48|R          |1.17e+08|2.75e+11|                   |
|PSR J0024-7204X |00 24 22.3856|-72 01 17.441|0.00477152291069356  |     5.0e-17| 1.83610e-20|         7.0e-25|  24.53900| 0.00500|             |                   |           |                 |   11.917057000| 9.0e-07|  0.00000045|        0.00000009|  0.3536|     0.4186|              |          |                |    4.69|R          |4.12e+09|3.00e+08|             148.38|
|PSR J2053-7200  |20 53 47.2830|-72 00 42.450|0.341336405724       |     3.0e-12| 1.97600e-16|         1.2e-19|  17.30000| 0.40000|        6.000|                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.03|R          |2.74e+07|2.63e+11|                   |
|PSR J1017-7156  |10 17 51.3283|-71 56 41.646|0.00233851444011854  |     4.0e-17| 2.21940e-21|         7.0e-25|  94.22407| 0.00003|        0.990|              0.040|       -1.6|              0.0|    4.830045090| 1.1e-07|  0.00014204|        0.00000002|  0.1891|     0.2214|He            |          |                |    0.26|R          |1.67e+10|7.29e+07|              12.10|
|PSR J0111-7131  |01 11 28.7700|-71 31 46.800|0.68854151164        |     5.0e-11| 7.09200e-15|         4.0e-18|  76.00000| 3.00000|        0.060|                   |           |                 |               |        |            |                  |        |           |              |          |                |   59.70|R          |1.54e+06|2.24e+12|                   |
|PSR J0540-7125  |05 40 30.8000|-71 25 31.400|1.286014595          |     3.0e-09| 8.20000e-16|         8.0e-17|  29.41000| 0.07000|        0.300|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    0.55|R          |2.48e+07|1.04e+12|                   |
|PSR J0951-71    |09 51 24.0000|-71 19 01.000|0.212378             |     0.0e+00|            |                |  77.00000| 0.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.52|R          |        |        |                   |
|PSR J1056-7117  |10 56 45.9800|-71 17 53.394|0.0263096769824      |     7.0e-13| 6.30000e-20|         7.0e-21|  93.04000| 0.04000|        0.340|                   |           |                 |    4.148550000| 2.0e-05|  0.00001300|        0.00000400|  0.1260|     0.1468|He            |          |                |    1.69|R          |6.62e+09|1.30e+09|                   |
